County,Watercraft,Flood Gate/,Other,Perinatal,Cold,Natural,Undetermined,Unrecovered,Total
Bay2016,0.0,0,0,0.0,0,0.0,0.0,1.0,1.0
Brevard2016,10.0,0,1,45.0,4,3.0,41.0,6.0,110.0
Broward2016,5.0,0,0,1.0,0,3.0,9.0,0.0,18.0
Charlotte2016,2.0,0,0,2.0,0,11.0,5.0,0.0,20.0
Citrus2016,3.0,0,0,6.0,1,3.0,3.0,0.0,16.0
Clay2016,0.0,0,0,0.0,0,0.0,1.0,0.0,1.0
Collier2016,6.0,0,0,2.0,1,12.0,6.0,4.0,31.0
Duval2016,1.0,1,1,0.0,3,2.0,3.0,1.0,12.0
Flagler2016,0.0,0,0,2.0,2,0.0,0.0,0.0,4.0
Glades2016,0.0,0,0,0.0,0,1.0,3.0,1.0,5.0
Gulf2016,0.0,0,0,0.0,0,1.0,0.0,0.0,1.0
Hernando2016,0.0,0,0,1.0,0,1.0,0.0,0.0,2.0
Hillsborough2016,7.0,0,0,3.0,1,3.0,8.0,2.0,24.0
Indian River2016,1.0,0,0,0.0,1,0.0,3.0,2.0,7.0
Lake2016,0.0,0,0,1.0,0,0.0,0.0,0.0,1.0
Lee2016,19.0,0,1,11.0,3,17.0,25.0,8.0,84.0
Levy2016,0.0,0,0,1.0,1,0.0,1.0,1.0,4.0
Manatee2016,4.0,0,0,2.0,1,6.0,2.0,0.0,15.0
Marion2016,1.0,0,0,0.0,0,0.0,0.0,0.0,1.0
Martin2016,3.0,0,0,4.0,1,2.0,1.0,0.0,11.0
Miami-Dade2016,4.0,1,1,1.0,0,0.0,5.0,2.0,14.0
Monroe2016,10.0,0,0,0.0,0,3.0,6.0,5.0,24.0
Okeechobee2016,0.0,0,0,1.0,1,0.0,1.0,0.0,3.0
Orange2016,0.0,0,0,0.0,0,0.0,1.0,0.0,1.0
Palm Beach2016,4.0,0,0,1.0,1,0.0,2.0,0.0,8.0
Pasco2016,1.0,0,1,1.0,0,2.0,0.0,0.0,5.0
Pinellas2016,4.0,0,0,7.0,1,5.0,6.0,0.0,23.0
Putnam2016,3.0,0,0,1.0,0,0.0,4.0,0.0,8.0
Sarasota2016,2.0,0,0,6.0,0,8.0,3.0,1.0,20.0
Seminole2016,0.0,0,0,0.0,0,0.0,1.0,1.0,2.0
St. Johns2016,3.0,0,0,2.0,1,0.0,1.0,0.0,7.0
St. Lucie2016,1.0,0,1,1.0,0,0.0,1.0,0.0,4.0
Volusia2016,12.0,0,0,11.0,1,3.0,5.0,1.0,33.0
TOTAL:2016,106.0,2,6,113.0,24,86.0,147.0,36.0,520.0
